county_name,precinct_name,candidate_ballot_name,yes_votes,district
Boone,24 & 33,Cheri Toalson Reisch,734,44
Boone,25 & 34,Cheri Toalson Reisch,101,44
Boone,39,Cheri Toalson Reisch,750,44
Boone,FEDERAL/STATE,Cheri Toalson Reisch,0,44
Boone,CENTRAL,Cheri Toalson Reisch,57,44
Boone,3A & 3G & 3L,Maren Bell Jones,493,44
Boone,3B,Maren Bell Jones,428,44
Boone,3C,Maren Bell Jones,549,44
Boone,3E & 3H,Maren Bell Jones,548,44
Boone,3F,Maren Bell Jones,588,44
Boone,3I &3J,Maren Bell Jones,405,44
Boone,3M & 6J,Maren Bell Jones,185,44
Boone,3N & 41,Maren Bell Jones,491,44
Boone,8,Maren Bell Jones,263,44
Boone,09 & 11,Maren Bell Jones,274,44
Boone,10 & 12,Maren Bell Jones,238,44
Boone,15 & 40,Maren Bell Jones,30,44
Boone,16,Maren Bell Jones,286,44
Boone,17,Maren Bell Jones,363,44
Boone,23,Maren Bell Jones,298,44
Boone,24 & 33,Maren Bell Jones,564,44
Boone,25 & 34,Maren Bell Jones,50,44
Boone,39,Maren Bell Jones,263,44
Boone,FEDERAL/STATE,Maren Bell Jones,0,44
Boone,CENTRAL,Maren Bell Jones,76,44
Boone,1A,Kip Kendrick,365,45
Boone,1B,Kip Kendrick,200,45
Boone,1C & 1G,Kip Kendrick,0,45
Boone,1D,Kip Kendrick,478,45
Boone,1E & 6B,Kip Kendrick,624,45
Boone,1I & 6F,Kip Kendrick,587,45
Boone,1M,Kip Kendrick,566,45
Boone,2A & 2G,Kip Kendrick,919,45
Boone,2B & 2J,Kip Kendrick,776,45
Boone,2C & 2F,Kip Kendrick,891,45
Boone,2H,Kip Kendrick,720,45
Boone,2I,Kip Kendrick,755,45
Boone,3A & 3G & 3L,Kip Kendrick,319,45
Boone,3D,Kip Kendrick,887,45
Boone,3E & 3H,Kip Kendrick,14,45
Boone,4F & 4I & 5A,Kip Kendrick,93,45
Boone,6A & 6L,Kip Kendrick,572,45
Boone,6C & 6H,Kip Kendrick,137,45
Boone,22 & 45,Kip Kendrick,308,45
Boone,FEDERAL/STATE,Kip Kendrick,0,45
Boone,CENTRAL,Kip Kendrick,212,45
Boone,1C & 1G,Cathy D. Richards,203,46
Boone,1D,Cathy D. Richards,9,46
Boone,1I & 6F,Cathy D. Richards,2,46
Boone,4A & 4J,Cathy D. Richards,414,46
Boone,4C & 4D,Cathy D. Richards,281,46
Boone,4E,Cathy D. Richards,299,46
Boone,4F & 4I & 5A,Cathy D. Richards,199,46
Boone,4G,Cathy D. Richards,393,46
Boone,4H & 4N,Cathy D. Richards,405,46
Boone,4K & 4M & 37,Cathy D. Richards,538,46
Boone,5C & 5H,Cathy D. Richards,520,46
Boone,5D & 5G & 5M,Cathy D. Richards,346,46
Boone,5E & 5P,Cathy D. Richards,589,46
Boone,5F,Cathy D. Richards,526,46
Boone,5I & 5J,Cathy D. Richards,591,46
Boone,5N & 36 & 44,Cathy D. Richards,116,46
Boone,6A & 6L,Cathy D. Richards,20,46
Boone,6E & 6I,Cathy D. Richards,217,46
Boone,6G,Cathy D. Richards,220,46
Boone,FEDERAL/STATE,Cathy D. Richards,0,46
Boone,CENTRAL,Cathy D. Richards,66,46
Boone,1C & 1G,Martha Stevens,1184,46
Boone,1D,Martha Stevens,50,46
Boone,1I & 6F,Martha Stevens,16,46
Boone,4A & 4J,Martha Stevens,865,46
Boone,4C & 4D,Martha Stevens,1008,46
Boone,4E,Martha Stevens,839,46
Boone,4F & 4I & 5A,Martha Stevens,865,46
Boone,4G,Martha Stevens,546,46
Boone,4H & 4N,Martha Stevens,709,46
Boone,4K & 4M & 37,Martha Stevens,599,46
Boone,5C & 5H,Martha Stevens,984,46
Boone,5D & 5G & 5M,Martha Stevens,281,46
Boone,5E & 5P,Martha Stevens,522,46
Boone,5F,Martha Stevens,647,46
Boone,5I & 5J,Martha Stevens,861,46
Boone,5N & 36 & 44,Martha Stevens,115,46
Boone,6A & 6L,Martha Stevens,74,46
Boone,6E & 6I,Martha Stevens,617,46
Boone,6G,Martha Stevens,585,46
Boone,FEDERAL/STATE,Martha Stevens,0,46
Boone,CENTRAL,Martha Stevens,181,46
Boone,1C & 1G,William (Bill) Hastings,39,46
Boone,1D,William (Bill) Hastings,3,46
Boone,1I & 6F,William (Bill) Hastings,2,46
Boone,4A & 4J,William (Bill) Hastings,22,46
Boone,4C & 4D,William (Bill) Hastings,23,46
Boone,4E,William (Bill) Hastings,21,46
Boone,4F & 4I & 5A,William (Bill) Hastings,12,46
Boone,4G,William (Bill) Hastings,9,46
Boone,4H & 4N,William (Bill) Hastings,8,46
Boone,4K & 4M & 37,William (Bill) Hastings,17,46
Boone,5C & 5H,William (Bill) Hastings,28,46
Boone,5D & 5G & 5M,William (Bill) Hastings,3,46
Boone,5E & 5P,William (Bill) Hastings,12,46
Boone,5F,William (Bill) Hastings,15,46
Boone,5I & 5J,William (Bill) Hastings,31,46
Boone,5N & 36 & 44,William (Bill) Hastings,3,46
Boone,6A & 6L,William (Bill) Hastings,2,46
Boone,6E & 6I,William (Bill) Hastings,15,46
Boone,6G,William (Bill) Hastings,17,46
Boone,FEDERAL/STATE,William (Bill) Hastings,0,46
Boone,CENTRAL,William (Bill) Hastings,6,46
Boone,1C & 1G,Charles (Chuck) Basye,0,47
Boone,1F & 1J & 1L,Charles (Chuck) Basye,202,47
Boone,1K & 2K,Charles (Chuck) Basye,624,47
Boone,2D,Charles (Chuck) Basye,502,47
Boone,2I,Charles (Chuck) Basye,6,47
Boone,2L & 20,Charles (Chuck) Basye,464,47
Boone,4B,Charles (Chuck) Basye,608,47
Boone,4K & 4M & 37,Charles (Chuck) Basye,458,47
Boone,4L,Charles (Chuck) Basye,480,47
Boone,5E & 5P,Charles (Chuck) Basye,66,47
Boone,5K,Charles (Chuck) Basye,30,47
Boone,5N & 36 & 44,Charles (Chuck) Basye,117,47
Boone,7,Charles (Chuck) Basye,877,47
Boone,15 & 40,Charles (Chuck) Basye,735,47
Boone,18 & 19,Charles (Chuck) Basye,651,47
Boone,21,Charles (Chuck) Basye,345,47
Boone,22 & 45,Charles (Chuck) Basye,292,47
Boone,38,Charles (Chuck) Basye,676,47
Boone,FEDERAL/STATE,Charles (Chuck) Basye,0,47
Boone,CENTRAL,Charles (Chuck) Basye,64,47
Boone,1C & 1G,Adrian Plank,1,47
Boone,1F & 1J & 1L,Adrian Plank,639,47
Boone,1K & 2K,Adrian Plank,644,47
Boone,2D,Adrian Plank,628,47
Boone,2I,Adrian Plank,20,47
Boone,2L & 20,Adrian Plank,347,47
Boone,4B,Adrian Plank,516,47
Boone,4K & 4M & 37,Adrian Plank,382,47
Boone,4L,Adrian Plank,492,47
Boone,5E & 5P,Adrian Plank,47,47
Boone,5K,Adrian Plank,5,47
Boone,5N & 36 & 44,Adrian Plank,190,47
Boone,7,Adrian Plank,375,47
Boone,15 & 40,Adrian Plank,421,47
Boone,18 & 19,Adrian Plank,321,47
Boone,21,Adrian Plank,435,47
Boone,22 & 45,Adrian Plank,302,47
Boone,38,Adrian Plank,453,47
Boone,FEDERAL/STATE,Adrian Plank,0,47
Boone,CENTRAL,Adrian Plank,68,47
Boone,3E & 3H,Sara Walsh,65,50
Boone,3M & 6J,Sara Walsh,659,50
Boone,5B,Sara Walsh,370,50
Boone,5D & 5G & 5M,Sara Walsh,345,50
Boone,5K,Sara Walsh,600,50
Boone,5N & 36 & 44,Sara Walsh,512,50
Boone,6C & 6H,Sara Walsh,348,50
Boone,6D & 6K & 6M,Sara Walsh,590,50
Boone,25 & 34,Sara Walsh,475,50
Boone,26,Sara Walsh,525,50
Boone,27,Sara Walsh,605,50
Boone,28 & 29,Sara Walsh,559,50
Boone,30 & 43,Sara Walsh,899,50
Boone,31 & 32,Sara Walsh,989,50
Boone,35 & 42,Sara Walsh,885,50
Boone,FEDERAL/STATE,Sara Walsh,1,50
Boone,CENTRAL,Sara Walsh,79,50
Boone,3E & 3H,Michela Skelton,55,50
Boone,3M & 6J,Michela Skelton,389,50
Boone,5B,Michela Skelton,345,50
Boone,5D & 5G & 5M,Michela Skelton,414,50
Boone,5K,Michela Skelton,383,50
Boone,5N & 36 & 44,Michela Skelton,379,50
Boone,6C & 6H,Michela Skelton,599,50
Boone,6D & 6K & 6M,Michela Skelton,870,50
Boone,25 & 34,Michela Skelton,452,50
Boone,26,Michela Skelton,463,50
Boone,27,Michela Skelton,536,50
Boone,28 & 29,Michela Skelton,476,50
Boone,30 & 43,Michela Skelton,517,50
Boone,31 & 32,Michela Skelton,602,50
Boone,35 & 42,Michela Skelton,456,50
Boone,FEDERAL/STATE,Michela Skelton,1,50
Boone,CENTRAL,Michela Skelton,107,50
Buchanan,FAITH UNITED CHURCH,Sheila Solon,379,9
Buchanan,ASHLAND UNITED METHODIST CHURCH,Sheila Solon,2,9
Buchanan,RIVERSIDE BAPTIST CHURCH,Sheila Solon,348,9
Buchanan,OUR LADY OF GUADALUPE CHURCH,Sheila Solon,2158,9
Buchanan,AGENCY METHODIST CHURCH,Sheila Solon,119,9
Buchanan,WILLOWBROOK COMMUNITY CENTER,Sheila Solon,6,9
Buchanan,ST JOSEPH CATHOLIC CHURCH,Sheila Solon,137,9
Buchanan,FRAZIER BAPTIST CHURCH,Sheila Solon,209,9
Buchanan,FREDERICK BOULEVARD BAPTIST CHURCH,Sheila Solon,1119,9
Buchanan,GRACE EVANGELICAL CHURCH,Sheila Solon,245,9
Buchanan,ABSENTEE,Sheila Solon,432,9
Buchanan,FAITH UNITED CHURCH,Bob Bergland,244,9
Buchanan,ASHLAND UNITED METHODIST CHURCH,Bob Bergland,8,9
Buchanan,RIVERSIDE BAPTIST CHURCH,Bob Bergland,340,9
Buchanan,OUR LADY OF GUADALUPE CHURCH,Bob Bergland,1416,9
Buchanan,AGENCY METHODIST CHURCH,Bob Bergland,70,9
Buchanan,WILLOWBROOK COMMUNITY CENTER,Bob Bergland,3,9
Buchanan,ST JOSEPH CATHOLIC CHURCH,Bob Bergland,82,9
Buchanan,FRAZIER BAPTIST CHURCH,Bob Bergland,86,9
Buchanan,FREDERICK BOULEVARD BAPTIST CHURCH,Bob Bergland,662,9
Buchanan,GRACE EVANGELICAL CHURCH,Bob Bergland,125,9
Buchanan,ABSENTEE,Bob Bergland,302,9
Buchanan,ST PETER LUTHERAN CHURCH,Bill Falkner,757,10
Buchanan,SAVANNAH AVE BAPTIST CHURCH,Bill Falkner,533,10
Buchanan,CENTRAL ASSEMBLY OF GOD,Bill Falkner,409,10
Buchanan,ST JOSEPH CITY HALL,Bill Falkner,367,10
Buchanan,WYATT PARK CHRISTIAN CHURCH,Bill Falkner,564,10
Buchanan,BROOKDALE STUDENT MINISTRY,Bill Falkner,778,10
Buchanan,PONY EXPRESS MUSEUM,Bill Falkner,391,10
Buchanan,HUFFMAN UNITED METHODIST CHURCH,Bill Falkner,15,10
Buchanan,FAITH UNITED CHURCH,Bill Falkner,532,10
Buchanan,ASHLAND UNITED METHODIST CHURCH,Bill Falkner,1001,10
Buchanan,OUR LADY OF GUADALUPE CHURCH,Bill Falkner,15,10
Buchanan,ABSENTEE,Bill Falkner,391,10
Buchanan,ST PETER LUTHERAN CHURCH,Shane R. Thompson,485,10
Buchanan,SAVANNAH AVE BAPTIST CHURCH,Shane R. Thompson,378,10
Buchanan,CENTRAL ASSEMBLY OF GOD,Shane R. Thompson,296,10
Buchanan,ST JOSEPH CITY HALL,Shane R. Thompson,466,10
Buchanan,WYATT PARK CHRISTIAN CHURCH,Shane R. Thompson,400,10
Buchanan,BROOKDALE STUDENT MINISTRY,Shane R. Thompson,689,10
Buchanan,PONY EXPRESS MUSEUM,Shane R. Thompson,368,10
Buchanan,HUFFMAN UNITED METHODIST CHURCH,Shane R. Thompson,16,10
Buchanan,FAITH UNITED CHURCH,Shane R. Thompson,228,10
Buchanan,ASHLAND UNITED METHODIST CHURCH,Shane R. Thompson,557,10
Buchanan,OUR LADY OF GUADALUPE CHURCH,Shane R. Thompson,8,10
Buchanan,ABSENTEE,Shane R. Thompson,253,10
Buchanan,WYATT PARK CHRISTIAN CHURCH,Brenda Shields,100,11
Buchanan,COPELAND BAPTIST CHURCH,Brenda Shields,487,11
Buchanan,HUFFMAN UNITED METHODIST CHURCH,Brenda Shields,652,11
Buchanan,THE EVOLUTION UNITED METHODIST CHURCH,Brenda Shields,1051,11
Buchanan,THE KEYS CHRISTIAN FELLOWSHIP,Brenda Shields,981,11
Buchanan,WESLEY UNITED METHODIST CHURCH,Brenda Shields,843,11
Buchanan,RIVERSIDE BAPTIST CHURCH,Brenda Shields,539,11
Buchanan,AGENCY METHODIST CHURCH,Brenda Shields,217,11
Buchanan,DEKALB COMMUNITY CENTER,Brenda Shields,314,11
Buchanan,WILLOWBROOK COMMUNITY CENTER,Brenda Shields,640,11
Buchanan,FAUCETT LIONS CLUB,Brenda Shields,474,11
Buchanan,FRAZIER BAPTIST CHURCH,Brenda Shields,161,11
Buchanan,RUSHVILLE MASONIC LODGE,Brenda Shields,247,11
Buchanan,GRACE EVANGELICAL CHURCH,Brenda Shields,218,11
Buchanan,ABSENTEE,Brenda Shields,351,11
Buchanan,WYATT PARK CHRISTIAN CHURCH,Brady Lee O'Dell,94,11
Buchanan,COPELAND BAPTIST CHURCH,Brady Lee O'Dell,418,11
Buchanan,HUFFMAN UNITED METHODIST CHURCH,Brady Lee O'Dell,440,11
Buchanan,THE EVOLUTION UNITED METHODIST CHURCH,Brady Lee O'Dell,695,11
Buchanan,THE KEYS CHRISTIAN FELLOWSHIP,Brady Lee O'Dell,521,11
Buchanan,WESLEY UNITED METHODIST CHURCH,Brady Lee O'Dell,453,11
Buchanan,RIVERSIDE BAPTIST CHURCH,Brady Lee O'Dell,315,11
Buchanan,AGENCY METHODIST CHURCH,Brady Lee O'Dell,90,11
Buchanan,DEKALB COMMUNITY CENTER,Brady Lee O'Dell,90,11
Buchanan,WILLOWBROOK COMMUNITY CENTER,Brady Lee O'Dell,176,11
Buchanan,FAUCETT LIONS CLUB,Brady Lee O'Dell,160,11
Buchanan,FRAZIER BAPTIST CHURCH,Brady Lee O'Dell,63,11
Buchanan,RUSHVILLE MASONIC LODGE,Brady Lee O'Dell,108,11
Buchanan,GRACE EVANGELICAL CHURCH,Brady Lee O'Dell,78,11
Buchanan,ABSENTEE,Brady Lee O'Dell,239,11
